Temp,I,J,K,L,R,S
39.67,80.85751,35.57711,257.87576,115.02884,3267.54126,1093.51758
39.67,79.19035,35.57711,257.87576,115.02884,3264.2002,1090.43726
39.33,79.19035,35.57711,257.87576,115.02884,3260.85913,1088.38367
39.33,79.19035,35.19456,258.49713,115.02884,3255.29077,1087.35693
39.67,78.77355,35.19456,259.73993,115.97949,3246.38135,1084.27649
39.67,79.19035,35.19456,259.73993,115.97949,3243.04028,1085.30334
39.67,79.19035,35.19456,259.73993,116.93015,3239.69922,1082.22302
39.33,78.35677,35.19456,260.3613,115.97949,3233.01709,1082.22302
39.67,78.35677,35.19456,260.3613,115.97949,3236.35815,1081.19617
39.33,78.35677,35.19456,260.9827,115.97949,3233.01709,1081.19617
39.33,78.35677,35.19456,260.3613,115.97949,3228.5625,1080.16943
39.33,78.35677,35.19456,260.3613,116.93015,3225.22144,1080.16943
39.33,77.93997,35.19456,260.3613,116.93015,3219.65308,1078.11584
40.0,77.93997,35.19456,260.3613,116.93015,3221.88037,1079.1427
39.67,77.93997,35.19456,261.60406,116.93015,3216.31201,1078.11584
39.67,78.35677,35.19456,260.9827,116.93015,3209.62988,1078.11584
39.67,78.35677,35.19456,260.9827,116.93015,3208.51611,1076.06238
40.0,77.52318,34.81201,260.9827,116.93015,3201.83423,1076.06238
39.67,77.93997,35.19456,260.9827,116.93015,3197.37939,1072.98206
39.33,77.93997,35.19456,261.60406,116.93015,3188.46997,1072.98206
39.33,77.52318,35.19456,260.9827,116.93015,3187.3562,1071.9552
39.33,77.93997,34.81201,262.22546,116.93015,3178.44678,1071.9552
39.33,77.52318,35.19456,261.60406,116.93015,3175.10571,1070.92847
39.33,78.35677,35.19456,261.60406,116.93015,3169.53735,1070.92847
39.67,78.35677,34.81201,261.60406,116.93015,3167.31006,1069.90161
39.33,77.52318,34.81201,261.60406,116.93015,3165.08252,1069.90161
39.33,77.52318,34.81201,262.22546,116.93015,3158.40063,1068.87488
39.67,77.10639,34.81201,262.22546,116.93015,3150.60474,1066.82129
39.33,76.6896,34.42946,262.84686,117.8808,3138.35425,1063.74097
39.33,76.2728,34.42946,262.84686,117.8808,3140.58154,1063.74097
39.67,76.2728,34.42946,262.84686,117.8808,3146.15015,1064.76782
39.67,76.6896,34.42946,262.84686,117.8808,3140.58154,1063.74097
39.33,76.2728,34.42946,262.84686,116.93015,3141.69531,1063.74097
39.33,76.2728,34.04691,262.22546,116.93015,3147.26367,1064.76782
39.67,75.85602,34.42946,262.22546,116.93015,3141.69531,1063.74097
39.33,76.2728,34.42946,262.22546,117.8808,3137.24072,1063.74097
39.67,76.2728,34.42946,262.84686,117.8808,3139.46802,1062.71423
39.33,75.85602,34.04691,262.84686,116.93015,3147.26367,1062.71423
40.0,75.85602,34.04691,262.22546,116.93015,3147.26367,1063.74097
39.67,75.85602,34.04691,262.84686,117.8808,3142.80908,1062.71423
39.67,75.85602,34.04691,262.84686,117.8808,3140.58154,1062.71423
39.33,75.43922,34.04691,262.84686,117.8808,3141.69531,1061.6875
39.67,75.43922,34.04691,263.46823,117.8808,3138.35425,1061.6875
39.33,75.43922,34.04691,262.84686,117.8808,3140.58154,1061.6875
39.67,75.43922,34.04691,263.46823,117.8808,3137.24072,1061.6875
39.33,75.43922,34.04691,264.08963,117.8808,3130.55859,1059.63391
39.33,75.02243,34.04691,263.46823,117.8808,3133.89966,1060.66064
40.0,75.02243,34.04691,263.46823,117.8808,3130.55859,1060.66064
39.67,75.43922,34.04691,264.08963,117.8808,3119.42163,1057.58032
39.67,75.43922,34.04691,264.08963,118.83145,3113.85327,1057.58032
39.67,74.60564,33.66436,264.08963,118.83145,3114.96704,1056.55359
39.67,74.60564,33.66436,264.71103,118.83145,3113.85327,1056.55359
39.67,75.02243,33.66436,264.71103,118.83145,3112.7395,1056.55359
39.67,74.60564,33.66436,264.71103,118.83145,3113.85327,1056.55359
39.67,75.02243,33.66436,264.71103,118.83145,3109.39868,1054.5
39.67,75.02243,33.66436,264.71103,118.83145,3103.83008,1055.52673
39.67,75.02243,33.66436,264.71103,118.83145,3110.51221,1056.55359
39.67,75.02243,33.66436,264.71103,118.83145,3107.17114,1054.5
39.67,75.02243,33.66436,264.71103,118.83145,3104.94385,1054.5
39.33,75.02243,33.66436,264.71103,118.83145,3111.62598,1054.5
39.67,74.60564,33.66436,264.71103,118.83145,3109.39868,1055.52673
39.67,74.60564,33.66436,264.71103,118.83145,3110.51221,1056.55359
40.0,74.60564,33.66436,264.71103,118.83145,3109.39868,1056.55359
39.67,75.02243,33.66436,264.71103,118.83145,3112.7395,1056.55359
40.0,74.60564,33.66436,265.3324,118.83145,3114.96704,1057.58032
39.67,74.60564,33.66436,264.71103,118.83145,3120.5354,1057.58032
40.0,74.60564,33.66436,264.71103,118.83145,3117.19434,1058.60718
39.33,75.02243,33.66436,265.3324,118.83145,3109.39868,1056.55359
39.67,75.02243,33.66436,265.3324,118.83145,3116.08057,1056.55359
39.67,74.18885,33.66436,264.71103,118.83145,3126.10376,1058.60718
39.67,74.18885,33.66436,264.71103,118.83145,3123.87646,1058.60718
39.67,74.18885,33.66436,264.71103,118.83145,3119.42163,1058.60718
39.67,74.60564,33.66436,264.71103,118.83145,3111.62598,1058.60718
39.67,74.18885,33.66436,265.3324,118.83145,3112.7395,1057.58032
39.67,74.60564,33.66436,264.71103,118.83145,3110.51221,1056.55359
39.67,74.60564,33.66436,265.3324,118.83145,3101.60278,1055.52673
39.67,74.18885,33.66436,265.3324,118.83145,3103.83008,1056.55359
40.0,74.18885,33.66436,265.3324,118.83145,3100.48901,1056.55359
39.67,74.18885,33.66436,265.9538,118.83145,3097.14819,1055.52673
39.67,74.18885,33.66436,265.9538,118.83145,3088.23853,1053.47327
39.67,74.18885,33.28181,265.9538,118.83145,3089.35229,1053.47327
39.33,73.77206,33.28181,265.9538,119.7821,3082.67017,1052.44641
39.67,73.35527,33.28181,265.9538,119.7821,3074.87451,1052.44641
39.67,73.35527,33.28181,265.9538,119.7821,3070.41968,1050.39294
39.67,73.77206,33.66436,266.57516,119.7821,3072.64697,1050.39294
39.67,73.35527,33.28181,266.57516,119.7821,3070.41968,1051.41968
39.67,73.35527,33.28181,266.57516,119.7821,3065.96509,1049.36609
39.67,73.77206,33.28181,266.57516,119.7821,3057.05542,1048.33936
39.67,73.77206,33.28181,266.57516,119.7821,3055.94189,1046.28577
39.67,73.35527,33.28181,267.19656,119.7821,3051.48706,1046.28577
39.67,73.35527,33.28181,267.19656,119.7821,3052.60083,1046.28577
40.0,73.35527,32.89926,267.19656,119.7821,3054.82812,1046.28577
39.67,72.93848,33.28181,267.19656,119.7821,3057.05542,1047.31262
39.33,73.35527,33.28181,267.19656,119.7821,3053.7146,1047.31262
39.67,73.35527,32.89926,267.19656,119.7821,3051.48706,1047.31262
39.67,72.93848,32.89926,267.19656,119.7821,3055.94189,1046.28577
40.0,72.93848,32.89926,267.19656,119.7821,3054.82812,1048.33936
39.67,72.93848,32.89926,267.19656,119.7821,3058.16919,1046.28577
39.67,72.93848,32.89926,267.19656,119.7821,3053.7146,1047.31262
39.67,72.93848,32.89926,267.81796,119.7821,3052.60083,1046.28577
39.67,72.93848,32.89926,267.19656,120.73275,3052.60083,1047.31262
40.0,72.93848,32.89926,267.81796,120.73275,3047.03247,1047.31262
40.0,72.93848,32.89926,267.81796,120.73275,3051.48706,1046.28577
39.67,72.93848,32.89926,267.81796,120.73275,3050.37354,1047.31262
39.67,73.35527,32.89926,267.81796,120.73275,3047.03247,1046.28577
40.0,72.93848,32.89926,267.81796,120.73275,3052.60083,1045.25903
39.67,72.93848,32.89926,267.19656,119.7821,3069.30615,1050.39294
39.67,72.93848,32.89926,267.19656,119.7821,3065.96509,1050.39294
39.67,73.35527,32.89926,267.81796,120.73275,3058.16919,1049.36609
39.33,73.35527,33.28181,267.19656,119.7821,3052.60083,1048.33936
39.67,73.35527,33.28181,267.19656,120.73275,3055.94189,1047.31262
39.67,73.35527,33.28181,267.81796,120.73275,3052.60083,1046.28577
39.67,73.77206,33.28181,267.81796,119.7821,3051.48706,1045.25903
39.67,73.35527,33.28181,267.81796,120.73275,3043.69141,1046.28577
39.67,73.35527,33.28181,267.81796,120.73275,3049.25977,1045.25903
39.33,73.35527,33.28181,267.81796,120.73275,3045.9187,1044.23218
39.67,73.77206,33.28181,268.43933,120.73275,3042.57764,1041.15186
39.67,73.35527,33.28181,268.43933,120.73275,3043.69141,1044.23218
40.0,73.35527,33.28181,267.81796,120.73275,3042.57764,1045.25903
40.0,73.35527,32.89926,268.43933,120.73275,3044.80493,1043.20544
40.0,72.93848,33.28181,267.81796,120.73275,3045.9187,1043.20544
39.67,73.35527,33.28181,268.43933,120.73275,3043.69141,1043.20544
39.67,73.77206,33.28181,268.43933,120.73275,3044.80493,1044.23218
39.67,73.35527,33.28181,268.43933,120.73275,3041.46411,1044.23218
39.67,73.35527,32.89926,268.43933,120.73275,3038.12305,1043.20544
39.67,73.35527,33.28181,269.06073,120.73275,3021.41772,1042.17871
39.67,73.35527,32.89926,269.06073,120.73275,3011.39453,1038.07153
39.67,72.93848,32.89926,269.06073,120.73275,3012.5083,1037.0448
39.67,72.52168,32.89926,269.06073,120.73275,3010.28101,1037.0448
39.67,72.93848,32.89926,269.06073,120.73275,3003.59888,1037.0448
39.67,72.52168,32.89926,269.68213,121.6834,3006.93994,1036.01807
40.0,72.1049,32.89926,269.68213,121.6834,3009.16724,1037.0448
40.0,72.52168,32.89926,269.06073,121.6834,3006.93994,1036.01807
39.67,72.1049,32.89926,269.06073,120.73275,3018.07666,1038.07153
40.0,72.1049,32.89926,269.06073,121.6834,3008.05347,1036.01807
39.67,72.52168,32.89926,269.68213,121.6834,3001.37158,1034.99121
39.67,72.1049,32.89926,269.68213,121.6834,3005.82617,1034.99121
40.0,72.1049,32.89926,269.68213,121.6834,3009.16724,1036.01807
39.67,72.1049,32.51671,270.3035,121.6834,3010.28101,1037.0448
40.0,72.1049,32.89926,270.3035,121.6834,3012.5083,1036.01807
39.67,72.1049,32.89926,269.68213,121.6834,3009.16724,1037.0448
40.0,72.52168,32.89926,270.3035,121.6834,3009.16724,1036.01807
39.67,72.52168,32.89926,270.3035,121.6834,3011.39453,1034.99121
39.67,72.52168,32.89926,270.3035,121.6834,3011.39453,1034.99121
39.67,72.52168,32.89926,270.3035,121.6834,3005.82617,1034.99121
39.67,72.93848,32.89926,270.3035,121.6834,3005.82617,1033.96448
40.0,72.1049,32.51671,270.3035,121.6834,3014.7356,1036.01807
39.67,72.52168,32.89926,270.3035,121.6834,3011.39453,1037.0448
39.67,72.52168,32.89926,270.3035,121.6834,3005.82617,1036.01807
40.0,72.93848,32.89926,270.3035,121.6834,3006.93994,1033.96448
39.67,72.93848,32.51671,270.3035,121.6834,3009.16724,1033.96448
39.67,72.52168,32.89926,270.3035,121.6834,3011.39453,1034.99121
39.67,72.93848,32.89926,270.3035,121.6834,3006.93994,1034.99121
39.67,73.35527,32.89926,270.9249,121.6834,2996.91675,1032.93774
40.0,72.93848,32.89926,270.3035,121.6834,2999.14404,1030.88416
40.0,72.52168,32.51671,270.3035,121.6834,3009.16724,1033.96448
39.67,72.1049,32.89926,270.9249,121.6834,3010.28101,1034.99121
39.67,72.52168,32.89926,270.3035,121.6834,2998.03052,1033.96448
40.0,72.93848,32.89926,270.3035,121.6834,2992.46191,1030.88416
39.67,72.52168,32.51671,270.9249,121.6834,2990.23462,1029.8573
40.0,72.1049,32.51671,270.9249,121.6834,2990.23462,1031.91089
40.0,72.52168,32.89926,270.9249,122.63406,2986.89355,1029.8573
39.67,72.52168,32.89926,271.54626,122.63406,2979.0979,1027.80383
39.67,72.52168,32.51671,271.54626,121.6834,2980.21143,1027.80383
39.67,72.52168,32.89926,270.9249,122.63406,2980.21143,1028.83057
39.67,72.52168,32.51671,270.9249,121.6834,2981.3252,1027.80383
40.0,72.1049,32.51671,270.9249,121.6834,2988.00732,1028.83057
39.67,72.1049,32.89926,270.9249,121.6834,2982.43896,1028.83057
39.67,72.52168,32.89926,271.54626,122.63406,2980.21143,1028.83057
39.67,72.52168,32.89926,271.54626,122.63406,2977.98413,1026.77698
39.67,72.52168,32.89926,272.16766,122.63406,2971.302,1026.77698
40.0,72.1049,32.51671,271.54626,122.63406,2982.43896,1027.80383
39.67,72.1049,32.89926,271.54626,122.63406,2976.87036,1027.80383
39.67,72.52168,32.89926,271.54626,122.63406,2975.75684,1026.77698
39.67,72.93848,32.89926,272.16766,122.63406,2975.75684,1025.75024
39.67,72.52168,32.89926,272.16766,122.63406,2975.75684,1025.75024
39.67,72.1049,32.89926,271.54626,121.6834,2988.00732,1026.77698
39.67,72.1049,32.51671,271.54626,122.63406,2980.21143,1027.80383
39.67,72.52168,32.89926,271.54626,122.63406,2977.98413,1026.77698
39.67,72.52168,32.51671,272.16766,122.63406,2970.18848,1024.72351
39.67,72.1049,32.51671,272.16766,122.63406,2961.27905,1023.69672
39.67,71.27131,32.51671,271.54626,122.63406,2967.96094,1023.69672
39.67,72.1049,32.51671,272.16766,122.63406,2955.71045,1022.66992
39.67,71.27131,32.13416,271.54626,122.63406,2953.48315,1022.66992
39.67,71.27131,32.51671,271.54626,122.63406,2949.02832,1018.56281
39.67,72.1049,32.51671,272.78906,122.63406,2934.55054,1016.50928
39.67,71.6881,32.13416,271.54626,122.63406,2923.41382,1016.50928
39.67,70.85452,32.13416,271.54626,122.63406,2931.20947,1014.45569
40.0,70.85452,32.13416,272.16766,122.63406,2930.09595,1015.48248
39.67,71.27131,32.51671,272.16766,122.63406,2911.16333,1014.45569
39.67,71.27131,32.13416,272.16766,122.63406,2917.84546,1012.40216
39.67,70.43773,32.13416,272.16766,122.63406,2928.98218,1014.45569
40.0,70.85452,32.51671,272.16766,122.63406,2920.07275,1016.50928
39.67,71.6881,32.13416,272.78906,122.63406,2900.02637,1011.37537
39.67,70.85452,32.13416,272.16766,122.63406,2914.50439,1012.40216
39.67,70.43773,32.13416,271.54626,122.63406,2920.07275,1013.42896
39.67,71.27131,32.13416,272.16766,122.63406,2885.54858,1011.37537
40.0,70.43773,32.13416,272.16766,122.63406,2892.23071,1006.24152
39.67,70.43773,32.13416,272.16766,122.63406,2903.36743,1008.29504
