Temp,I,J,K,L,R,S
39.67,70.02094,32.13416,272.16766,122.63406,2903.36743,1009.32184
39.67,70.02094,32.13416,272.16766,122.63406,2898.91284,1010.34857
39.67,70.85452,32.51671,272.16766,122.63406,2902.25391,1008.29504
39.67,72.1049,32.51671,272.78906,122.63406,2898.91284,1009.32184
39.67,70.43773,32.13416,272.16766,122.63406,2917.84546,1012.40216
39.67,70.02094,32.13416,271.54626,122.63406,2918.95898,1015.48248
39.67,70.43773,32.13416,272.16766,122.63406,2886.66235,1011.37537
39.67,70.43773,32.13416,272.78906,122.63406,2890.00342,1004.18793
39.67,70.02094,32.13416,272.78906,122.63406,2888.88965,1008.29504
39.67,70.43773,32.13416,272.16766,122.63406,2886.66235,1006.24152
39.67,69.60415,31.75161,272.78906,122.63406,2932.32324,1002.1344
39.67,68.35378,32.51671,270.9249,122.63406,2912.27686,1020.61639
39.67,69.60415,31.75161,270.9249,121.6834,2924.52734,1013.42896
39.67,69.60415,32.13416,270.9249,121.6834,2893.34448,1010.34857
39.67,69.60415,31.75161,270.3035,121.6834,2892.23071,1007.26825
39.67,68.77056,31.36906,270.3035,121.6834,2894.45801,1006.24152
39.67,68.77056,31.36906,269.68213,120.73275,2908.93579,1008.29504
39.67,69.60415,31.75161,269.68213,120.73275,2893.34448,1008.29504
39.67,69.60415,31.36906,269.68213,121.6834,2871.0708,1004.18793
39.67,69.60415,31.75161,269.68213,121.6834,2855.47925,998.02728
39.67,70.02094,31.75161,269.68213,121.6834,2847.68335,997.00049
40.0,69.18736,31.36906,269.68213,121.6834,2868.84326,1001.1076
39.67,69.60415,31.75161,270.3035,121.6834,2862.16138,995.97369
39.67,69.60415,31.36906,270.3035,120.73275,2869.95703,1000.08081
39.67,69.18736,31.36906,269.68213,120.73275,2855.47925,1004.18793
39.67,69.18736,30.98651,269.06073,120.73275,2865.50244,1003.16113
39.67,68.77056,30.98651,269.06073,120.73275,2868.84326,1001.1076
39.67,68.35378,30.98651,269.06073,120.73275,2876.63916,1006.24152
39.67,68.77056,31.36906,268.43933,121.6834,2875.52539,1007.26825
40.0,68.35378,30.98651,269.06073,120.73275,2875.52539,1008.29504
39.67,68.35378,30.98651,268.43933,121.6834,2876.63916,1008.29504
40.0,68.77056,31.36906,269.06073,121.6834,2876.63916,1009.32184
40.33,68.77056,31.36906,269.06073,121.6834,2865.50244,1005.21472
40.33,68.77056,30.98651,269.06073,121.6834,2855.47925,1003.16113
39.67,69.60415,31.36906,269.06073,121.6834,2858.82031,1003.16113
39.67,69.18736,31.36906,269.06073,121.6834,2862.16138,1002.1344
39.67,69.60415,30.98651,269.06073,121.6834,2853.25195,1001.1076
39.67,68.77056,30.98651,269.68213,121.6834,2847.68335,1003.16113
39.67,68.77056,30.98651,269.06073,121.6834,2855.47925,1003.16113
39.67,68.77056,31.36906,269.06073,121.6834,2849.91089,1003.16113
39.67,68.77056,31.36906,269.06073,121.6834,2842.11499,999.05408
39.67,68.77056,30.98651,269.06073,121.6834,2842.11499,1000.08081
39.67,69.18736,30.98651,269.06073,121.6834,2837.6604,997.00049
39.67,68.77056,30.98651,269.06073,121.6834,2827.63721,998.02728
39.67,69.18736,31.36906,269.06073,121.6834,2820.95508,992.89337
39.67,68.77056,30.98651,269.06073,121.6834,2816.50024,992.89337
39.67,68.35378,30.98651,269.06073,121.6834,2816.50024,992.89337
40.0,67.93698,30.98651,269.06073,121.6834,2820.95508,994.94696
39.67,68.35378,30.98651,269.06073,121.6834,2819.84131,992.89337
39.67,69.18736,30.98651,269.06073,121.6834,2832.0918,992.89337
40.0,67.52019,30.60396,268.43933,121.6834,2864.38867,1010.34857
39.67,68.35378,31.36906,269.68213,121.6834,2890.00342,1008.29504
39.67,69.18736,31.36906,268.43933,121.6834,2867.72974,1007.26825
39.67,68.35378,31.36906,269.68213,121.6834,2884.43481,1011.37537
39.67,68.77056,31.36906,269.06073,120.73275,2854.36548,1006.24152
39.67,68.77056,31.36906,268.43933,120.73275,2861.04761,1002.1344
39.67,68.77056,31.36906,268.43933,120.73275,2888.88965,1007.26825
39.67,69.18736,31.75161,267.81796,120.73275,2882.20752,1011.37537
39.67,69.18736,31.75161,268.43933,120.73275,2873.2981,1005.21472
39.67,69.60415,31.36906,267.81796,120.73275,2878.86646,1006.24152
39.67,69.60415,31.36906,268.43933,120.73275,2891.11694,1005.21472
40.0,70.02094,31.75161,267.81796,120.73275,2879.98022,1006.24152
40.0,70.02094,31.36906,267.81796,120.73275,2862.16138,1004.18793
39.67,69.18736,31.36906,267.81796,120.73275,2877.75293,1005.21472
40.0,69.18736,31.36906,268.43933,120.73275,2867.72974,1004.18793
40.33,69.18736,31.75161,267.81796,120.73275,2858.82031,1004.18793
40.0,69.60415,31.36906,268.43933,121.6834,2862.16138,1001.1076
40.0,69.60415,31.75161,268.43933,120.73275,2861.04761,1003.16113
40.0,70.02094,31.75161,268.43933,120.73275,2864.38867,1001.1076
39.67,70.43773,31.75161,268.43933,120.73275,2865.50244,1002.1344
39.67,70.85452,31.75161,267.81796,120.73275,2878.86646,1003.16113
40.0,70.43773,31.75161,267.81796,120.73275,2901.14014,1010.34857
39.67,70.02094,32.13416,268.43933,120.73275,2911.16333,1018.56281
39.67,70.43773,31.75161,267.81796,120.73275,2917.84546,1019.5896
39.67,70.85452,31.75161,267.81796,121.6834,2907.82227,1014.45569
39.67,71.27131,32.51671,267.81796,120.73275,2947.91479,1019.5896
40.0,72.52168,32.13416,267.81796,120.73275,2933.43701,1023.69672
39.67,71.27131,32.13416,267.19656,120.73275,2897.79907,1014.45569
39.67,70.85452,32.51671,267.19656,120.73275,2941.23267,1014.45569
39.67,72.93848,32.51671,266.57516,120.73275,2928.98218,1023.69672
40.0,71.6881,32.13416,267.19656,120.73275,2924.52734,1020.61639
39.67,72.52168,32.51671,267.19656,120.73275,2908.93579,1020.61639
40.33,72.52168,32.51671,266.57516,120.73275,2916.73169,1011.37537
40.0,72.93848,32.51671,265.9538,120.73275,2939.00537,1020.61639
39.67,74.18885,32.51671,266.57516,120.73275,2934.55054,1022.66992
39.67,72.93848,32.51671,266.57516,120.73275,2915.61792,1019.5896
40.0,72.93848,32.51671,267.19656,120.73275,2913.39062,1018.56281
39.67,72.52168,32.51671,266.57516,120.73275,2896.6853,1017.53601
40.33,72.52168,32.51671,266.57516,120.73275,2891.11694,1014.45569
39.67,72.1049,32.13416,266.57516,120.73275,2879.98022,1012.40216
39.67,71.6881,32.13416,266.57516,120.73275,2875.52539,1013.42896
40.0,72.1049,32.13416,266.57516,120.73275,2863.2749,1011.37537
40.0,72.1049,32.13416,267.19656,120.73275,2866.61597,1008.29504
39.67,72.52168,32.13416,266.57516,120.73275,2874.41187,1008.29504
39.67,71.6881,32.13416,267.19656,120.73275,2847.68335,1007.26825
40.0,70.85452,31.75161,267.19656,121.6834,2851.02441,1008.29504
40.0,70.85452,31.75161,267.19656,121.6834,2848.79712,1008.29504
39.67,71.27131,32.13416,266.57516,120.73275,2841.00122,1006.24152
39.67,71.27131,31.75161,266.57516,120.73275,2834.31934,1006.24152
40.0,71.6881,32.13416,266.57516,120.73275,2835.43286,1003.16113
40.0,71.6881,31.75161,266.57516,121.6834,2817.61401,1003.16113
39.67,71.6881,32.13416,266.57516,120.73275,2822.06885,1001.1076
39.67,71.27131,31.75161,266.57516,121.6834,2795.34033,999.05408
39.67,70.85452,31.75161,266.57516,120.73275,2799.79517,997.00049
39.67,71.27131,31.75161,266.57516,120.73275,2798.6814,999.05408
39.67,70.85452,31.75161,265.9538,120.73275,2791.99927,999.05408
40.33,70.85452,31.75161,266.57516,120.73275,2780.86255,997.00049
40.0,70.43773,31.36906,265.9538,120.73275,2778.63525,997.00049
40.0,70.85452,31.75161,265.9538,120.73275,2775.29419,994.94696
40.33,70.43773,31.36906,265.9538,120.73275,2766.38477,993.92017
39.67,70.43773,31.75161,265.9538,120.73275,2767.49829,991.86664
39.67,71.27131,31.75161,266.57516,120.73275,2776.40771,994.94696
40.0,70.85452,31.36906,266.57516,120.73275,2759.70264,992.89337
40.0,70.43773,31.36906,266.57516,120.73275,2760.81616,991.86664
39.67,70.43773,31.36906,266.57516,120.73275,2756.36157,992.89337
39.67,70.02094,31.36906,266.57516,120.73275,2750.79321,992.89337
40.0,70.02094,31.36906,266.57516,121.6834,2749.67944,991.86664
40.0,70.43773,31.36906,266.57516,120.73275,2753.02051,991.86664
40.0,70.02094,31.36906,266.57516,121.6834,2753.02051,992.89337
39.67,70.02094,30.98651,266.57516,120.73275,2741.88379,991.86664
39.67,69.60415,31.36906,266.57516,120.73275,2746.33838,991.86664
39.67,70.02094,30.98651,265.9538,121.6834,2749.67944,991.86664
39.67,69.60415,30.98651,265.9538,120.73275,2745.22485,992.89337
39.67,70.02094,31.36906,266.57516,120.73275,2758.58887,992.89337
39.67,70.02094,30.98651,266.57516,121.6834,2744.11108,994.94696
39.67,69.60415,31.36906,265.9538,120.73275,2755.2478,994.94696
39.67,70.43773,31.36906,265.9538,120.73275,2760.81616,997.00049
39.67,69.60415,30.98651,266.57516,121.6834,2749.67944,997.00049
40.0,69.60415,30.98651,266.57516,121.6834,2746.33838,994.94696
40.0,69.18736,30.98651,267.19656,121.6834,2738.54272,993.92017
40.0,69.18736,30.98651,267.19656,121.6834,2739.65625,992.89337
40.33,69.60415,30.98651,267.19656,121.6834,2736.31519,991.86664
40.0,69.60415,30.98651,267.19656,121.6834,2737.42896,991.86664
40.33,70.02094,31.36906,267.19656,121.6834,2747.45215,992.89337
40.0,70.02094,31.36906,267.81796,121.6834,2750.79321,994.94696
40.0,70.43773,30.98651,267.81796,121.6834,2750.79321,997.00049
39.67,70.02094,31.36906,267.81796,121.6834,2754.13428,995.97369
39.67,70.02094,31.36906,267.81796,121.6834,2757.47534,998.02728
39.67,70.02094,31.36906,267.81796,121.6834,2764.15723,999.05408
39.67,70.02094,30.98651,268.43933,122.63406,2754.13428,999.05408
39.67,69.60415,30.98651,268.43933,122.63406,2748.56567,995.97369
40.0,69.60415,31.36906,268.43933,122.63406,2757.47534,994.94696
40.33,70.02094,31.36906,269.06073,122.63406,2758.58887,997.00049
40.0,70.02094,31.36906,269.06073,122.63406,2761.92993,998.02728
39.67,70.02094,31.36906,269.68213,122.63406,2776.40771,1002.1344
39.67,70.43773,31.36906,269.06073,122.63406,2775.29419,1003.16113
39.67,70.43773,31.36906,269.06073,122.63406,2788.6582,1003.16113
39.67,70.43773,31.36906,269.68213,122.63406,2794.22681,1008.29504
40.0,70.43773,31.36906,269.68213,122.63406,2795.34033,1008.29504
39.67,70.43773,31.36906,270.3035,123.58471,2808.70459,1011.37537
39.67,70.43773,31.36906,270.3035,123.58471,2803.13623,1009.32184
40.0,70.85452,31.36906,270.3035,123.58471,2794.22681,1009.32184
40.0,70.85452,31.75161,270.9249,123.58471,2806.47729,1009.32184
39.67,70.85452,31.36906,270.3035,123.58471,2803.13623,1010.34857
39.67,71.27131,31.75161,270.3035,123.58471,2818.72778,1009.32184
40.0,71.27131,31.36906,270.9249,123.58471,2815.38672,1014.45569
40.0,69.60415,31.36906,270.9249,123.58471,2803.13623,1012.40216
40.0,69.60415,31.36906,271.54626,123.58471,2806.47729,1010.34857
40.0,70.43773,31.36906,271.54626,123.58471,2808.70459,1012.40216
40.0,70.85452,31.75161,270.9249,123.58471,2814.27295,1012.40216
39.67,71.27131,31.75161,270.3035,123.58471,2822.06885,1012.40216
39.67,70.85452,31.36906,270.9249,123.58471,2822.06885,1015.48248
40.0,70.85452,31.75161,270.9249,123.58471,2828.75073,1015.48248
40.33,71.27131,31.75161,270.3035,123.58471,2837.6604,1015.48248
39.67,70.85452,31.36906,270.9249,123.58471,2847.68335,1019.5896
40.0,70.85452,31.36906,270.3035,123.58471,2834.31934,1018.56281
39.67,70.85452,31.36906,270.3035,123.58471,2845.45605,1017.53601
39.67,70.85452,31.36906,270.9249,123.58471,2839.8877,1019.5896
39.67,70.85452,31.36906,270.9249,123.58471,2833.20557,1018.56281
40.0,70.85452,31.36906,270.3035,123.58471,2828.75073,1016.50928
40.0,71.27131,31.36906,270.9249,123.58471,2820.95508,1017.53601
39.67,71.27131,31.36906,270.9249,123.58471,2828.75073,1016.50928
39.67,71.6881,31.36906,270.9249,123.58471,2833.20557,1018.56281
40.33,71.27131,31.36906,270.9249,123.58471,2830.97827,1018.56281
40.0,71.6881,31.75161,270.9249,123.58471,2830.97827,1019.5896
40.33,71.27131,31.36906,270.9249,123.58471,2822.06885,1016.50928
40.0,70.85452,31.36906,270.9249,123.58471,2822.06885,1016.50928
40.0,71.6881,31.75161,270.9249,123.58471,2833.20557,1016.50928
40.0,71.6881,31.75161,271.54626,124.53535,2836.54663,1019.5896
40.0,71.6881,31.75161,270.9249,123.58471,2829.8645,1018.56281
40.0,72.1049,31.75161,270.9249,123.58471,2833.20557,1019.5896
39.67,72.1049,31.75161,271.54626,123.58471,2842.11499,1021.64313
39.67,72.1049,31.75161,270.9249,123.58471,2836.54663,1020.61639
39.67,71.6881,31.75161,271.54626,123.58471,2830.97827,1019.5896
40.0,72.1049,31.75161,271.54626,123.58471,2836.54663,1021.64313
39.67,72.1049,32.13416,271.54626,123.58471,2839.8877,1021.64313
39.67,72.52168,32.13416,271.54626,123.58471,2841.00122,1022.66992
40.0,72.1049,31.75161,272.16766,124.53535,2842.11499,1022.66992
40.33,72.1049,32.13416,271.54626,124.53535,2846.56982,1022.66992
40.0,72.52168,32.13416,271.54626,124.53535,2855.47925,1023.69672
39.67,72.93848,32.13416,272.78906,124.53535,2851.02441,1024.72351
40.0,72.52168,32.13416,272.78906,124.53535,2854.36548,1022.66992
40.33,72.93848,32.13416,272.78906,124.53535,2856.59277,1024.72351
39.67,72.52168,32.13416,272.78906,124.53535,2855.47925,1025.75024
39.67,72.52168,31.75161,272.78906,124.53535,2848.79712,1023.69672
39.67,72.52168,32.13416,272.78906,125.48601,2838.77393,1021.64313
40.0,72.52168,31.75161,273.41043,124.53535,2837.6604,1020.61639
39.67,72.52168,32.13416,272.78906,124.53535,2847.68335,1021.64313
40.0,72.93848,32.13416,273.41043,124.53535,2858.82031,1024.72351
39.67,72.93848,32.13416,273.41043,124.53535,2866.61597,1024.72351
39.67,73.35527,32.13416,272.78906,124.53535,2879.98022,1026.77698
